,text
332,"I am very sorry for my language which I am using here : 
@MFA_China
 is 
 ing on this stage and the world is listening to that 
en fixated on that while ignoring plight of #Uyghurs for freedom n liberty! 

#UyghurHolocaust #China_is_terrorist 
#UyghurChildren 
#UyghurGenocide"
333,"Xinjiang-related issues are never about human rights, ethnicity or religion, but combating violence, terrorism&secession. China is the last party to wear the pin of crimes against humanity. Seeing is believing. We always welcome objective&fair-minded foreigners to visit Xinjiang."
334,"Xinjiang and the world – The persecution of the Uyghurs is a crime against humanity https://economist.com/leaders/2020/10/17/the-persecution-of-the-uyghurs-is-a-crime-against-humanity… 
#China #Uyghurs #Economist"
335,#Hundreds march in #Vancouver to protest against #China over atrocities against #Uyghurs
336,"2019-2020 is a big year to warning of totalitarianism leaders, which as this institution won't not apply anymore in future!  resistance and overthrow the tyranny is the theme words of 2019-2020! #Uyghurs, #hongkong, #Belarus and now #tailand, we will take down tyranny soon!"
337,".
@Twitter
 could you please also remove the 'misleading' tweets about the non-existence of #ConcentrationCamps (where millions of #Uyghurs are detained, tortured and killed) by the various #Chinese ambassadors, officials and #CCP apologists all around the world.
@arslan_hidayat"
338,"Twitter has removed a 'misleading' tweet by a top coronavirus adviser to US President Donald Trump 
https://gadgets.ndtv.com/social-networking/news/twitter-trump-covid-19-adviser-tweet-removed-masks-scott-atlas-policy-2312217…"
339,"And CCP claims the girls are happy to marry Han Chinese men, despite they may be much older than them, and not being good to the girls
CCP is doing so to genetically eliminate #Uyghurs"
340,Protect the #Uyghurs
341,"Of the things buried in the news by the Trump presidency, I have to believe China’s ethnic cleansing of 2 million Uyghur Muslims put in internment camps has to be at the top of the list."
342,"... often hurting the credibility and image of the diaspora community, as Chinese state media can use those unauthentic videos to ""prove"" that accusations made by overseas #Uyghurs are not true."
343,Friends of Canada- India along with other organizations has staged a protest against China's brutal repression of #Uyghurs and for the release of two detained Canadians in China. The protesters marched from  Vancouver Art Gallery to the Chinese consulate office in Vancouver.
344,"Hoping some influential politician could investigate into the matter and if this is true, spread it to the world and act before more #uyghurs suffer from the #UyghurGenocide #ConcentrationCamps #CCPChina  

#FreeUyghur 
#StandwithUyghurs"
345,"Secretary @SecPompeo
Please look at this video. 

2 men were openly discussing price for this little girl!

We can't tolerate this China one minute longer!
@SolomonYue
@CECCgov

@DominicRaab Minister, is this good enough for sanction on the CCP 
 regime! 
@benedictrogers"
346,The #CCP #HumanRightsViolations against the #Uyghurs. #UyghurGenocide
347,"Poster 225 : ""Fenced""
#APosterADay4Uyghurs Day 225
3 million #Uyghurs and other Turkic people are languishing in #China's #ConcentrationCamps. The world should put pressure on China to close all its camps. It is not right to separate innocent children from their parents."
348,"Islamic countries shld unite to boycott the games.

Solidarity with the #Uyghurs people of China.

#UyghurGenocide
#UyghursLivesMatter 
#HumanRightsViolations 
#ChinaLiedAndPeopleDIED"
349,The Olympic Games should never be held in a country that has concentration camps!
350,"Concentration camps, forced labour and abortion, mass surveillance...#Uyghurs in Xinjiang hv been tortured for years under control of #CCP. It's time for the world to look into the issue seriously. 
#StandwithUyghurs #BoycottChineseProducts"
351,"""The evidence of a campaign against the #Uyghurs at home and abroad becomes more shocking with each scouring of the satellite evidence, each leak of official documents and each survivor’s pitiful account.""
@UyghurProject
 @DutchUyghurHR"
352,They banned it decades ago for #Uyghurs.
353,China bans haj for Muslims who fail patriotism test https://thetimes.co.uk/edition/world/china-bans-haj-for-muslims-who-fail-patriotism-test-pcb9c6dfc?utm_source=HOC+Library+-+Current+awareness+bulletins&utm_campaign=29cf040a4e-Current_Awareness_IADS_14_10_2020&utm_medium=email&utm_term=0_f325cdbfdc-29cf040a4e-103874017&mc_cid=29cf040a4e&mc_eid=f74ab9a9ac…
354,"Its clear you don't know me & you mistaken me for only striving for #Uyghur human rights. I oppose Chinese occupation & I strive for the restoration of #EastTurkistan's independence & ALL of its peoples' (#Uyghurs, #Kazakhs, #Kyrgyz, #Uzbeks, #Tatars & other) freedom."
355,"PARENTLESS HOUSE. Evidence from govt. documents in #Xinjiang shows thousands of #Uyghurs children were left without parents, after the Chinese govt. sent their parents into internment camps, prison and other detention facilities. #Children #HumanRights
 https://rightscorridor.com/thousands-of-uyghur-children-left-parentless-by-chinas-detention-system/…"
356,"Why is Canada ignoring treatment of #Uyghurs,
@JustinTrudeau
? Is it b/c 
@CitImmCanada
 sold 
 residency papers to the creme-de-la-creme of #CCP who are paying 
@liberal_party
 gov leaders into their FUNdations to serve their interests instead of human rights? 
@hrw
 #cdnpoli 
@CPC_HQ"
357,Beijing is going to need a better response than the “internal interference” argument if China wants to tamp down tensions with the US & increasingly other democracies as well. The treatment of Uighurs & others has become so horrific that Washington simply can’t ignore it. 5/
358,"#Uyghurs are not the only #Muslim minorities. #China also represses the #Hui in #Ninxia and #Yunnan.

#DigitalDictatorship #Orwellian"
359,"Chinese police target Muslim minorities using digital forensics: researcher 
https://americanmilitarynews.com/2020/10/chinese-police-target-muslim-minorities-using-digital-forensics-researcher/…"
360,"Something I never ever understand from western people.  When shown actual videos of #Uyghurs enjoying themselves posted by actual #Uyghurs living in #Xinjiang, the claim ""STAGED!!""

When shown grainy unverified stories, pictures, and videos, they claim ""#Truth!"""
361,"#China’s persecution of the #Uyghurs is a crime against humanity. 
@realDonaldTrump
 @ChineseEmbinUS
 #UyghursLivesMatter #CrimesAgainstHumanity #StandWithUyghurs"
362,"No Middle East, no Muslim country, has spoken strongly about the plight of the #Uyghurs (some need China as a counter to Western hostility, e.g. at the UN). No profiles in courage there. 
To their credit, the US 
@StateDept
  and Europeans have repeatedly and strongly spoken."
363,"Gulags of #China: The information they gleaned from children could result in a parent being sent to the government’s euphemism for a prisoner camp in #Xinjiang’s new gulag.
Orphaned by the state – How Xinjiang’s gulag tears families apart https://economist.com/china/2020/10/17/how-xinjiangs-gulag-tears-families-apart…"
364,"#China's mass internment of #Uyghurs & other Turkic peoples in #ConcentrationCamps, prisons, & #SlaveLabor camps has torn families apart within & outside #EastTurkistan. At least 500,000 children have been forcibly separated from their families."
365,The same bastards today claim Uyghur genocide in #xinjiang #China?  Where r the mass graves?  Where r the mass fleeing #Uyghurs?  NEVER & NEVER again...
366,"How on earth that is happening openly?! It’s ashame that #China is a member of 
@UN
 @UNHumanRights
 @unhrcpr
 ! #Uyghurs"
367," (incl 2 comments in 
) 
#MedicalEthics #Uyghurs 
#ChineseCovid19vaccine

#ChineseAmbassador #XuHong: ""#China is taking care of the wellbeing of every person on earth & during the pandemic it is happy to contribute."" 

https://facebook.com/112462576900252/posts/213156066830902/…"
368,"OMG! When it comes a day, which the earth is going 2 blow up, n we human beings n  #China/ #chinese are all flying to #Mars to survive, we as an #Uyghur family, will rather stay on earth n blow up here together than surviving with that creatures(chinese/china) in Mars! #Uyghurs"
369,"China's communists fund Jacinda Ardern's Labour Party: What the United States Congress was told, via @rottenbanana101 @JackMaxey1 @BoycottHegemony @TibetPeople @DongguanBoy @MaajidNawaz @MPIainDS  https://nzherald.co.nz/nz/chinas-communists-fund-jacinda-arderns-labour-party-what-the-united-states-congress-was-told/YLXIFYHTQHUZSJAAUPRGSK6QSQ/…"
370,"#CCP has long been torturing #Uyghurs , people of #EastTurkistan , #Tibet , #HongKong and #Mongolia.
They are now filled with government corruption and #HumanRightsViolations .
#China deserves sanctions. Forced labour and sterilisation cannot be accepted.
#Chinazi
#FreeUyghurs"
371,"#SerikzhanBilash, a Kazakh human rights activist for ethnic Kazakhs and other minorities held in detention camps in #Xinjiang, told the 
@KazakhstanGovt
 has granted asylee status to 2 #Uyghurs fleeing #Chinazi. In other wds, it proves the existence of #ConcentrationCamps in XJ."
372,Erdogan Is Turning #Turkey Into a #Chinese Client State (don’t mention the #Uyghurs)
373,Tell that to the slave labor #Uyghurs !
374,"@NSC
 NSA Robert C. O’Brien is being rather diplomatic and lenient in his characterization of #China’s vicious treatment of the #Uyghurs in #Xinjiang province."
375,Skaters being interviewed. Let's see how oppressed they are. #Uyghurs #Uighurs  #Xinjiang
376,What they did to #Uyghurs is no difference from what Nazi did to Jews. It is GENOCIDE.
377,"… (known as the Entity List) on October 9, 2019 due to the use of its technology for human rights abuses against #Uyghurs in #Xinjiang."
378,"We hope this will lead to stronger opposition from #Kyrgyzstan against #China's genocide of #Uyghurs, #Kazakhs, #Kyrgyz & other Turkic peoples in Occupied #EastTurkistan. Kyrgyzstan can play a crucial role in diminishing Chinese influence in #CentralAsia."
379,"Further,no where could be safe to #Uyghurs 

We should fear why #China could be such powerful to infiltrate into everywhere of our world"
380,Then remind me what you’re doing for #Uyghurs #HongKong #Thailand #Belarus #Ukraine
381,"Thanks to the #CCPVirus, I will only have online meetings with IBMers there, and this time, I am going to place a flag of #Uyghurs behind me for my next meeting, let's see how the ordinary people react 
#CCP_is_terrorist 
#CCPLiedPeopleDied"
382,"In 2020 we still assist to war crimes, unspeakable cruelty & armed conflicts worldwide. The world has learned very little from past conflicts. Sadly, we see countries like Russia sponsoring wars in Syria. China holding #Uyghurs in concentration camps. The world closes their eyes."
383,"Non-issue 
#Uighurs #Uyghurs #UighurGenocide #UyghurGenocide #MoeedYusuf"
384,"Non-issue 
https://theguardian.com/world/2020/oct/16/thousands-of-uighur-children-orphaned-by-chinese-detention-papers-show…
#Uighurs #Uyghurs #UighurGenocide #UyghurGenocide #MoeedYusuf"
385,deploy #MagnitskyAct and #stopbeijing2022 in the name of human rights #Uighurs #Uyghurs etc etc.
386,"Non-Alibaba Non-China suppliers for Amazon Ebay Etsy etc.sellers
@Kuzzat_Altay
 #UyghurGenocide 
#UyghurLivesMatter #Uyghurs 
13+ Websites to Find the non-Chinese Overseas Supplier For Amazon FBA"
387,"Worth reading
#China #Christianity #Islam #Uyghurs #Tibet

https://govinfo.gov/content/pkg/CHRG-115hhrg32308/html/CHRG-115hhrg32308.htm…"
388,"@DcZ2sppUAxLS3nO
Decade old false narratives lies by Western MSM NGOs activists politicians re #Uyghurs genocide holocaust hv died down AS IF that wasn't bad enough NOW Japan pseudo ""scholars"" started making #fakenews Child trade Oh brother Bakayaro Japan

https://twitter.com/manlanghappy/status/1317786710713933826?s=20…"
389,"That’s why we need to speak up for the #Uyghurs. It’s not WWII, don’t let history repeat once again. #SaveUyghur"
390,"Those decade old false narratives lies by Western MSM NGOs activists politicians re #Uyghurs genocide holocaust hv since died down
AS IF that wasn't bad enough NOW Japanese pseudo ""scholars"" started making up #fakenews Child trade
Oh brother! Give me fking break Bakayaro Japan!"
391,"Japanese professor joins world anti-China propaganda by producing a fake video of supposedly ethnic child trafficking in China. Immediately attracts 1000s of likes. Images misappropriated here, sound track stolen elsewhere. Such fake videos of alleged China atrocities abound... twitter.com/YIZHANDENG1001…"
392,"True, their family members are in mortal danger ! 

That is the #Uyghurs nightmare !"
393,"NO mass #Uyghurs refugees & other #Muslim minorities fleeing #China
#CCP holocaust genocide REALLY?

Inside the Beltway: Ipsos poll reveals China is happiest nation on Earth - Washington Times https://washingtontimes.com/news/2020/oct/12/inside-the-beltway-ipsos-poll-reveals-china-is-hap/…"
394,40~60millions some say ~80mils #Muslims mostly various minority ethnics living in entire #China including #Hui #Han #Kazakh #Tajik #Dongxiang #Salar #Bonan muslims ALSO 5mils Mongols & 3 millions more Tibetans BUT NO mass #Uyghurs fleeing refugees WTF cock MSM talking about here?
395,40~60millions some say ~80mils #Muslims mostly of various minority ethnics living in #China including #Hui #Han #Kazakh #Tajik #Dongxiang #Salar #Bonan muslims ALSO 5mils Mongols & 3 millions more Tibetans BUT NO mass #Uyghurs fleeing refugees WTF cock MSM talking about here?
396,"In Xinjiang, a million or more people have been put in camps. Uyghurs who live abroad still fear the Chinese authorities https://econ.trib.al/Guto92o From @1843mag"
397,"If it’s not genocide, I dunno what is. China must be held accountable for its crimes against humanity on #Uyghurs."
398,There are 40~60millions some say ~80mils #Muslims mostly of various minority ethnics live in entire #China including #Hui #Han #Kazakh #Tajik #Dongxiang #Salar #Bonan muslims ALSO 5mils Mongols & 3 millions more Tibetans BUT NO mass #Uyghurs fleeing refugees. 
399,"They suck Chinese's dick to earn money, but they always hypothetical be high and spot in USA? Be high to educate Americans?
#HunterBiden #Hollywood #Mulan #NBA #BlacksForTrump #CrookedJoeBiden #BidenCrimeFamily #UyghurGenocide #UyghurHolocaust #Uyghurs #Hongkong #Entertainment"
400,"Macron called #Parisbeheading as 'Islamist terrorist attack',this mindset must be changed.

In reality silence of Islamic nations have added to it. Even the silence of #ChineseStooge #Pakistan on issues like #Xinjiang & #Uyghurs of #China has impacted it."
401,"Demos were hypothetical show of Human rights balablabala, in fact, Uyghurs were been genocide by China, it's because they has been engagement and they has rich, Blacks poor, because they has sex of evils with China.
#WTO #BidenCrimeFamily #Election2020 #CrookedJoeBiden #Uyghurs"
402,"This is so sad, #Paris is always in our thoughts and prayers.

But we must think now as human beings about the larger issue. Why can't we come together on #HumanRightsViolations in the world?

Why no nation question #CCPChina's treatment to #Uyghurs? 
@Imamofpeace
#PeaceAndLove"
403,Murdered because he wanted to teach children something. #RIP #parisbeheading
404,"On #Tiktok Many of the #Uyghurs are exposing the brutal crackdown and oppressions against Uyghurs by the #Chinese communist regime by punching on the chest .

#UyghurGenocide 
#CCP
#UyghurLivesMatter 
#uyghurholocaust"
405,"Excellent articles from 
@TheEconomist
 calling out the crimes against humanity against the #Uyghurs. Mass imprisonment in gulags has also been investigated by https://chinatribunal.com and concluded as a likely source of forced organ harvesting 
@DAFOH_org
 @OrganCoalition"
406,They funded #Chechen and #Uyghurs and #Afghans with Saudi Money to push Jihadists against the east ex. Russia and China but when Jihadists attacked western countries they start hating them. They created a monster they can not control.
407,"“Chechens were armed to the teeth by the West to balkanise Russia after the disintegration of the USSR.”

“The hypocrites who demand that Muslims apologise for all terrorist acts won’t demand that the CIA apologise for creating and feeding these monsters.” https://peoplesreview.in/opinion/2020/10/paris-attack-why-would-muslims-apologise-for-terrorist-acts-across-the-world/amp/…"
408,The Chinese Communist Party has perpetrated atrocities against #HongKong #Uyghurs #Tibet and now #innermongolia . The free world should oversee the CCP behaviour.
409,"It's what the Chinese Communist Party regime has done to #Tibet, #Uyghurs and #HongKong - now they're doing it to #innermongolia

It's time to stop this cruel criminal regime's brutal rampages"
410,"""[A]s we report in this week (...), the evidence of a campaign against the #Uyghurs at home and abroad becomes more shocking with each scouring of the satellite evidence, each leak of official documents and each survivor’s pitiful account."" #China"
411,"India to build home-grown supercomputers, from the motherboards up. #Malaysia #Philippines #Vietnam #Japan #Australia #Uyghurs #Taiwan #CzechRepublic #India #Coronavirus #UK #Indonesia #NewZealand #SlovakRepublic #US #SouthKorea"
412,Perhaps Australia govt also need to ensure #Uyghurs are safe to live in Australia
413,"Govts and consumers have the responsibility to promote a slave free environment, sanctioning CCP officials, punishing companies for using #Uyghurs slaves, and stop buying slave made products"
414,"#China - #Xinjiang & The World - The persecution of the #Uyghurs is a #crime against #humanity. 

⁦
@TheEconomist
⁩ ⁦
@SecPompeo
⁩ ⁦
@UN
⁩ ⁦
@UNHumanRights
⁩ ⁦
@OHCHR_Pacific
⁩  
@Jkylebass
⁩ ⁦
@robert_spalding
⁩ #US #HumanRights"
415,I agree! #Uyghurs are the victims of peoples desire for #chinese money!
416,"”Something close to a #Genocide”, what does it mean? Why so many people are chewing their tongues around over what is happening to #Uyghurs which is exactly at least a #UyghurGenocide /#UyghurHolocaust!"
417,"The U.S. national security adviser said on Friday that China was perpetrating “something close to” a genocide with its treatment of Muslims in its Xinjiang region.

https://theglobeandmail.com/world/article-us-national-security-adviser-says-china-is-perpetrating-something/…"
418,"Construction work of 20 residential buildings completed in Axili, #Xinjiang
#China #Uyghurs #PovertyRelief

http://xinhuanet.com/english/2020-10/18/c_139448233_9.htm…"
419,30 Photos Taken In Dubai That Will Destroy Your Stereotypes
420,"Brands should be held responsible for excluding #Uyghurs forced labor from their supply chain. 
@Apple
 @FILAUSA
 @VictoriasSecret
      https://business-humanrights.org/en/latest-news/china-83-major-brands-implicated-in-report-on-forced-labour-of-ethnic-minorities-from-xinjiang-assigned-to-factories-across-provinces-includes-company-responses/…"
421,"I hope China’s inclusion in the UN Human Rights Council means more accountability, not more influence of their views on human freedom. The Uyghurs plight is real. #Uyghurs #China 
@TheEconomist"
422,"@RTErdogan
 @HHShkMohd
 We had high hopes on you, atleast I had, but your silence on #UyghurGenocide only speaks abt ur ignorance on protecting Muslims and other minorities as an 'Islamic Protector' which you claim to be. Please help #Uyghurs"
423,China 4 days ago won a seat on the #UN #HumanRightsCouncil. #ChineseLaw is what the party says it is? #Huawei #Uyghurs #EU #USA #PLA
424,"He is as disgusting as Carrie Lam, do find it hard to even look at their faces even with a mask 
 #FreedomIsNotFree 
#StandWithHongKong #save12hkyouths #StandWithThai #Mongolia #Tibet #Uyghurs #TamTakChi 
 #PoliceBrutality "
425,"Thats to bad, there’s a sale 
@Nike
 just lost for being an Anti-American Corporation that supports #Uyghurs slave labor, Marxism and #CCP China over America!"
426,"Regardless where we were, we are NEVER #Chinese!!

As I always tell others, I’m not Chinese, but #China issues my passport,only because it occupied it

It will change,we will change it!!

#Uyghurs are from #EastTurkistan!!!"
427,"Chinese” refers to all the people who hold Chinese ID card or passport, no matter of the look, ethnicity or religion… So the uyghurs who have Chinese passport are Chinese, who have American passport are American, who have Turkish passport are Turkish… We are living in .... twitter.com/AnneDestiny1/s…"
428,"the USA and all democracies worldwide. I see the same obsessive attention among not only Tibetans,but #Uyghurs #HongKongers and Thailand. We all understand what it is NOT to have basic human rights. Americans are too complacent. Freedom should be cherished. It’s too easy to lose!"
429,"The sad thing mid-East is taking out its dissatisfaction toward West by selling Uyghurs to #China, while West is hesitating weather or not to help #Uyghurs because we share the same religion with mid-East ... 

What a messed up world this is ..."
430,"#Palestine #PalestineMuslims #Iraq #Syria #Syrian #Yemen #Afghanistan #India #IndianMuslim #Kashmir #KashmiriMuslims #Burma #RohingyaMuslims #EastTurkistan #Uyghurs #Uyghurmuslims #Lebanon #Libya #Sudan #SaudiArabia #UAE #Turkey #Azerbaijan
No.12
Solution of #Muslims Degradation"
431,"The Prophet of Allah Almighty and his companions did not fight to achieve the country and to increase the borders, and did not do jihaad for it. They did the jihaad only to spread true natural religion Islam of the real God Allah Almighty, they did for guidance of people,
Cont."
432,"@JoeBiden
 and 
@KamalaHarris
 please look at his face, read his story. You guys hail yourselves as freedom, democracy and human rights fighters. I haven’t heard you guys said a word about the #Uyghurs and #Xinjiang issues."
433,Four #Uyghurs Facing Persecution After Deportation by #SaudiArabia to #China
434,".
@MamutjanAB
 asks: When will you free my wife and kids? 

.
@SpokespersonCHN
 replies: No signal. Please stand by

#Xinjiang #Uyghurs"
435,"My two children Muhlise and Hikmet are among those left without parents in Kashgar, sadly. Their mother Muherrem Ablet has been in detention since 2017 and I have been deprived of communication with them for the past 3.5 years. 
https://theguardian.com/world/2020/oct/16/thousands-of-uighur-children-orphaned-by-chinese-detention-papers-show?CMP=share_btn_tw…"
436,"#BeijingBiden is hypothetical ! 
 He always speak of #HumanRights
 and #Freedom on the stage, but he turn his blind eyes on cultural genocides facing by #Uyghurs in #Xinjiang, and brutal oppressions facing by #Hongkongers , when he is having secret deal with #CCPChina"
437,"Because it is not for #HongKongers or #Uyghurs only,but also Canadians

All of us in fact could be threatened by #China"
438,Check out leia's video! #TikTok #Uyghurs
439,"Yes, İt is genocide against #Uyghurs 
Stop #UyghurGenocide

https://theglobeandmail.com/amp/world/article-us-national-security-adviser-says-china-is-perpetrating-something/…"
440,Chinese detention 'leaving thousands of Uighur children without parents' https://theguardian.com/world/2020/oct/16/thousands-of-uighur-children-orphaned-by-chinese-detention-papers-show… #China #Xinjiang #Uyghur #Uighurs #Uyghurs
441,Peace and liberty for #Uyhgur ! #FreeUyghur #PrayForUyghur #SaveUyghur #SOSUyghur #StandWithUyghur #ウイグル
442,Chinese records refer to Uyghur children who have one or both parents interned in a camp as dankun (“single-hardship”) or shuangkun (“double-hardship”) https://econ.trib.al/3N0zrhp
443,So called muslim government-#SaudiArabia has deported #Uyghurs to be killed.
444,"Yes when we help the #Uyghurs and #Tibetan minorities, don’t forget that more than a billion of Chinese people are also under the tyranny of the #CCPChina."
445,"Powerful piece by @SarahOwen_. When we criticise the Chinese govt we do so in solidarity with the Chinese people, & we’ll always stand up for persecuted minorities such as the Uyghur.

Labour has a deep & long-standing relationship with the Chinese people, & will fight Sinophobia twitter.com/LabourList/sta…"
446,help #Uyghurs #MuslimLivesMatter
447,"#Uighur children orphaned by 
       #Chinese detention

""Orphaned by the state –How #Xinjiang 's gulag tears families apart""
#EastTurkestan #Uyghurs #EU
 #IndoPacific #UyghurLivesMatter"
448,"#MAGA #MakeAmericaGreatAgain 
President Trump already on fourth gear.
#ChinaLiedPeopleDied  #UighurGenocide #Uyghurs #BlacksForTrump #fentanyl #WuhanVirus #wuhanlab #hypocrisy #XINN #chinavirus #unrestrictedWar #HunterBiden #BidenCrimeFamily #ChinaJoe #Uighurs #CROOKEDJOE"
449,#VoteYourHeartForBiden because u hate #Uyghurs and u love slave labor.
450,"If you missed the 
@ihmec
 presentation ""History Repeating: The Forced Labor and Genocide of the #Uyghurs"", with 
@rushanabbas
 & camp survivor Zumret Dawut, you can view it here: 
https://youtu.be/ye7BZ_lY3gM via 
@YouTube"
451,#STOP #Genocide Towards the #Uyghurs
